,Project ID,Project Title,Budget,Country,Country Code,Link,Donors,VF or Non-VF,Output Count,Project Description
36,123292.0,Tiendas Comunitarias - Chocó,9217.0,Colombia,COL,"https://pnudcolombia.exposure.co/juntas-y-poderosas

https://www.youtube.com/watch?v=h6buc3MubaY

https://open.undp.org/projects/00123292","Donor 00012: UNDP's Rapid Response Facility (RRF2) program https://www.undp.org/press-releases/covid-19-30-million-rapid-response-facility-launched-vulnerable-countries

Donor 00012: CO UNDP Funding
https://www.undp.org/es/colombia",Non-VF,1,
37,98331.0,"
Implement collective reparation measures in 7 ethnic communities and one non-ethnic community in photovoltaic power lines and definition of sustainability strategy",3627.0,Colombia,COL,https://open.undp.org/projects/00098331,"Donor 12641: The United Nations Multi-Partner Trust Fund for Sustaining Peace in Colombia / (Previously Known As Mptf-Colombia Post-Conflict Unmptf)
https://mptf.undp.org/

Donor 00012: CO UNDP Funding
https://www.undp.org/es/colombia",Non-VF,2,
38,6469.0,Comoros national child project - Africa Minigrids Program (AMP),1269863.0,Comoros,COM,https://co.pims.undp.org/project/view?id=6469,GEF/PNUD,VF,4,
39,5484.0,Comoros Geothermal,5905662.0,Comoros,COM,https://co.pims.undp.org/project/view?id=5484,GEF /PNUD,VF,3,
40,5740.0,Assurer un approvisionnement en eau résilient aux changement climatique aux comores ER2C ,20345141.0,Comoros,COM,Pims +,GCF /PNUD,VF,1,
41,1001412.0,Électrification et Croissance en Union des Comores,2000000.0,Comoros,COM,,USAID/ PNUD,Non-VF,2,
42,142807.0,Energy Efficiency in Barda and Ganja,885772.0,Azerbaijan,AZE,http://open.undp.org/projects/00142807,"GOV. of Japan, 
UNDP",Non-VF,2,
43,6479.0,Energy Efficiency in Buildings – EMIS and Green Social Housing,4521005.0,Azerbaijan,AZE,https://co.pims.undp.org/project/view?id=6479,GEF,VF,1,
44,5492 / 00101330,Moldova Green Cities,127500.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/moldova-sustainable-green-cities,"GEF, UNDP",Non-VF,7,
45,130906,Addressing the impacts of the energy crisis in the Republic of Moldova: Initiating solutions toward energy security and energy poverty,649000.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/addressing-impacts-energy-crisis-republic-moldova,European Union $13.5M,Non-VF,5,
46,1000378,"Multidimensional response to emerging human security challenges - ""Biomass revitalization""",2298111.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/multidimensional-response-emerging-human-security-challenges-moldova,"Japan $ 2,2  (2023)
",Non-VF,1,
47,133573,Emergency support for agri-producers /energy technologies ,4150139.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/emergency-support-agri-producers-context-socio-economic-climate-and-energy-crisis,"Austria (ADA) $ 455,455.53 (2024)
Switzerland (SDC)$ 986,845.96 (2024)",Non-VF,1,
48,1001727,"Greening the future, advancing rights and stability: spurring an inclusive and green transition with responsive governance in the eastern neighbourhood region (Molodva)",4268266.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/greening-future-advancing-rights-and-stability-spurring-inclusive-and-green-transition-responsive-governance-eastern-neighbourhood,"Denmark: 2024	= $1,217,005, 2025 = $1,887,018, 2026 = $910,065, 2027 = $254,178",Non-VF,1,
49,1000952,Accelerating a Just Transition in the Republic of Moldova Programme,20675141.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/accelerating-just-transition-republic-moldova-programme,"Italy: 2024 = $7,813,710, 2025 = $3,151,201

Sweden: 2024 = $9,560,229.01",Non-VF,1,
50,1002849,"Resilient Communities through Women Empowerment, phase II",8461359.0,Moldova Republic,MDA,https://www.undp.org/moldova/projects/resilient-communities-through-women-empowerment-phase-2,"Sweden: 2024 = $182,338.04, 2025 = $1,689,690.26, 2026 = $1,686,532.06, 2027 = $1,137,162.54, 2028 = $299,093.38

Norway: 2024 = $592,708.17, 2025 = $1,063,419.99, 2026 = $747,128,23	 ",Non-VF,1,
51,1001335,Enabling an Inclusive Green Transition in the Republic of Moldova,7894000.0,Moldova Republic,MDA,https://open.undp.org/projects/01001335,,Non-VF,2,
