,Country Code,Electricity access,Clean cooking,Energy efficiency,Renewable energy,Overall
61,EAP,46504861.585199416,1588523666.1488967,20699200.144148007,,551909242.6260813
62,EAR,225065373.29050282,2241591955.0421762,31500689.02709497,,832719339.1199247
63,EAS,46973394.016123205,1828673842.2975664,23169670.309838768,,632938968.8745095
64,ECA,43304.82601180725,358517117.86877733,4007684.661739882,,120856035.78550969
65,ECS,43195.1690515579,878921794.482937,9230606.838309485,,296065198.83009934
66,ECU,202269.11160550304,16586045.085,173863.25888394497,3118457.8935000002,5020158.837247362
67,EGY,0.0,107357668.866,1074651.34,5695652.101999999,28531993.077
68,EMU,0.0,342913447.0,3429134.47,,115447527.15666668
69,ERI,1700732.6636397762,330695.72400000005,18551.353363602244,2619607.9556,1167396.9241508446
70,ESP,0.0,47365655.0,473656.55,8180048.6185,14004840.042125
71,EST,0.0,1329522.0,13295.22,416007.43379999994,439706.16345
72,ETH,57313407.20768761,9140891.058,598775.0379231239,104206158.06120001,42814807.841202684
73,EUU,20802.247262650017,445285410.2659428,4476715.127527374,,149927642.54691094
74,FCS,425774979.61851317,275790300.4891903,5536435.473814867,,235700571.8605061
75,FIN,0.0,5529543.0,55295.43,2530318.8767999997,2028789.3266999999
76,FJI,0.0,473096.908,9204.22,243727.7456,181507.21839999998
77,FRA,0.0,67571107.0,675711.07,10493792.9171,19685152.746774998
78,FRO,0.0,,524.15,2830.41,1118.1866666666667
79,FSM,19141.0697167052,14573.78,929.649302832948,1995.4868,9159.996454884536
80,GAB,193228.05447748437,2019756.8129999998,20993.449455225156,2060564.6123999998,1073635.7323331772
81,GBR,0.0,67081000.0,670810.0,8210714.4,18990631.1
82,GEO,0.0,3316939.956,37227.16,938868.9752,1073259.0228
83,GHA,4545948.121906816,7144049.021999999,276344.52878093184,13451407.617999999,6354437.322671937
84,GIB,0.0,,327.09,0.0,109.02999999999999
85,GIN,7306585.690048231,250897.907,58985.673099517684,8641452.1232,4064480.348336937
86,GMB,971089.3569755735,43757.915,16029.056430244264,1267435.138,574577.8666014544
87,GNB,1343842.296279059,22174.108000000004,6719.857037209412,1738450.0672,777796.582129067
88,GNQ,530722.5796316445,391032.005,10653.264203683557,105020.0242,259356.96825883203
89,GRC,0.0,10698599.0,106985.99,1980310.6749,3196473.9162250003
90,GRD,7931.1899812179045,110183.733,1157.318100187821,12823.853099999998,33024.02354535143
